ReplayID,Map Name,Length,Hero,Lvl,Result,Date and Time (UTC),Share Replay
159535527,Dragon Shire,00:16:18,Kharazim,20,1,10/30/2018 1:46:03 PM, 
159534391,Alterac Pass,00:11:11,Anub'arak,20,0,10/30/2018 1:22:19 PM, 
159533173,Towers of Doom,00:21:51,Li Li,20,0,10/29/2018 8:52:51 PM, 
159533162,Volskaya Foundry,00:27:32,Li Li,20,1,10/29/2018 8:20:18 PM, 
159533132,Dragon Shire,00:20:24,Azmodan,18,0,10/29/2018 7:38:57 PM, 
159496718,Infernal Shrines,00:20:06,Li Li,20,1,10/29/2018 7:05:37 PM, 
159533123,Towers of Doom,00:15:25,Azmodan,18,1,10/29/2018 5:38:36 PM, 
159533111,Sky Temple,00:18:30,Anub'arak,20,0,10/29/2018 5:13:20 PM, 
159533100,Braxis Holdout,00:24:07,Li Li,20,1,10/29/2018 4:42:22 PM, 
159480954,Battlefield of Eternity,00:22:21,Artanis,20,1,10/29/2018 3:44:14 PM, 
159479120,Cursed Hollow,00:24:52,Li Li,20,1,10/29/2018 3:07:47 PM, 
159476865,Infernal Shrines,00:16:14,Whitemane,10,0,10/29/2018 2:30:32 PM, 
159437577,Dragon Shire,00:20:09,Azmodan,18,1,10/28/2018 9:00:44 PM, 
159435879,Braxis Holdout,00:20:28,Samuro,20,1,10/28/2018 8:32:29 PM, 
159434158,Cursed Hollow,00:14:17,Uther,20,1,10/28/2018 8:05:11 PM, 
159382521,Battlefield of Eternity,00:21:54,Li Li,20,1,10/28/2018 4:10:48 AM, 
159381124,Cursed Hollow,00:26:42,Li Li,20,0,10/28/2018 3:40:54 AM, 
159379516,Braxis Holdout,00:18:26,Azmodan,18,1,10/28/2018 3:04:31 AM, 
159378461,Volskaya Foundry,00:26:12,Azmodan,18,0,10/28/2018 2:39:46 AM, 
159377523,Battlefield of Eternity,00:15:32,Azmodan,18,0,10/28/2018 2:07:29 AM, 
159376577,Battlefield of Eternity,00:16:38,Kharazim,20,1,10/28/2018 1:37:03 AM, 
159375118,Cursed Hollow,00:21:07,Blaze,17,0,10/28/2018 12:47:59 AM, 
159287071,Towers of Doom,00:16:35,Sonya,13,0,10/26/2018 8:16:06 PM, 
159286123,Alterac Pass,00:18:36,Azmodan,18,1,10/26/2018 7:53:16 PM, 
159284924,Volskaya Foundry,00:23:23,Azmodan,17,1,10/26/2018 7:22:54 PM, 
159274179,Dragon Shire,00:18:46,Samuro,20,1,10/26/2018 4:05:43 PM, 
159272291,Cursed Hollow,00:31:13,Li Li,20,0,10/26/2018 3:33:07 PM, 
159269524,Sky Temple,00:13:29,Li Li,20,1,10/26/2018 2:48:00 PM, 
159267833,Towers of Doom,00:20:54,Li Li,20,0,10/26/2018 2:23:11 PM, 
159211678,Alterac Pass,00:14:01,Li Li,20,0,10/25/2018 4:09:51 PM, 
159209999,Towers of Doom,00:14:16,Azmodan,17,0,10/25/2018 3:31:26 PM, 
159208625,Braxis Holdout,00:20:48,Blaze,17,1,10/25/2018 3:02:26 PM, 
159207106,Alterac Pass,00:18:11,Azmodan,17,0,10/25/2018 2:32:48 PM, 
159205294,Tomb of the Spider Queen,00:14:12,Diablo,20,0,10/25/2018 2:03:57 PM, 
159203858,Cursed Hollow,00:29:09,Li Li,20,0,10/25/2018 1:38:48 PM, 
159178829,Sky Temple,00:17:23,Li Li,20,0,10/25/2018 2:52:52 AM, 
159202067,Battlefield of Eternity,00:26:12,Samuro,20,0,10/25/2018 2:19:32 AM, 
159202063,Alterac Pass,00:22:32,Tychus,20,0,10/25/2018 1:35:03 AM, 
159175127,Towers of Doom,00:16:20,Nazeebo,20,0,10/25/2018 1:04:45 AM, 
159173791,Sky Temple,00:21:54,Artanis,20,1,10/24/2018 9:12:56 PM, 
159173786,Battlefield of Eternity,00:13:01,Diablo,20,1,10/24/2018 8:39:59 PM, 
159173781,Braxis Holdout,00:20:25,Samuro,20,0,10/24/2018 8:18:33 PM, 
159173777,Infernal Shrines,00:17:32,Anub'arak,20,0,10/24/2018 7:48:52 PM, 
159158375,Cursed Hollow,00:23:48,Uther,20,0,10/24/2018 7:22:29 PM, 
159155975,Volskaya Foundry,00:23:50,Diablo,20,0,10/24/2018 3:14:12 PM, 
159155969,Dragon Shire,00:20:05,Artanis,20,0,10/24/2018 2:17:25 PM, 
159155963,Infernal Shrines,00:22:37,Blaze,17,1,10/23/2018 9:13:51 PM, 
159155957,Sky Temple,00:20:05,Anub'arak,20,1,10/23/2018 8:41:10 PM, 
159155954,Sky Temple,00:20:38,Tychus,20,0,10/23/2018 7:30:38 PM, 
